GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
NTC161-1116	-41.1258522457766	13.0155680560894	5	0.10047965653640732	1.95231160079224	#ffffff
NTR15-1116	18.1124488007565	-14.1929315280069	8	0.4798841792928755	1546.21533096575	#ff9494
TTR45-1116	9.08181103995918	-25.3939854221019	6	0.10184870779499347	7.524662754884	#ffffff
PTC29-0205	-6.14317933559251	-11.6124006424688	5	0.11666729245134566	67.8396851428019	#fffbfb
TTC53-0205	33.4119420515982	-37.1258861144918	9	0.1	0.0	#ffffff
NTC27-0407	-35.9965303612295	-19.7251935810071	2	0.10024363185798317	0.991637279095027	#ffffff
PTC107-1116	-18.7244862054765	-9.91171288421488	0	0.10133660576911173	5.44029060516492	#ffffff
TTH1-50-0508	22.2136371043002	-2.38523590605529	4	0.1	0.0	#ffffff
NTH2-58-0508	-0.803447404119924	-2.09395826856752	6	0.1	0.0	#ffffff
TTR63-1116	18.2653795640923	-15.9523116353819	8	0.22409971727990902	505.114179231915	#ffdcdc
PTC106-0407	2.2343812548926	34.260840676219	1	0.5832684879354598	1967.01306806029	#ff7777
TTC94-1116	36.3801324483069	-36.3605486364708	9	0.1	0.0	#ffffff
NTC143-1116	-23.4985551262956	-12.6568348902476	0	0.10175314178776786	7.13568728934479	#ffffff
PTC2-95-0508	-20.5731581265708	-29.6198031231186	2	0.1	0.0	#ffffff
PTH8-0322	-43.7529206053483	-14.2881450319489	2	0.20370510808300657	422.103464050239	#ffe2e2
PTC34-0508	-29.4371260599734	-32.4545388694861	2	0.1	0.0	#ffffff
PTR21-0508	12.8488995392134	25.3087222276687	4	0.1	0.0	#ffffff
TTR83-0322	18.6726748734687	-25.6914764396691	8	0.1	0.0	#ffffff
NTH81-1116	-22.9028314756591	8.91079542774385	0	0.10110139424186483	4.48292599438802	#ffffff
PTH3-89-0508	30.3030712714606	24.8959818296312	3	0.6216682953852156	2123.30905041856	#ff6c6c
TTS33-0205	43.3111638133552	-17.4539878261858	4	0.2642786073662325	668.65143405601	#ffd1d1
PTC109-0322	-33.325872288244	-1.92993454948004	0	0.34249015361773594	986.990281695616	#ffbbbb
PTC2-20-0508	-28.1582477002354	-33.2615802516477	2	0.1	0.0	#ffffff
PTS3-21-0508	12.2740825235425	26.3314992906404	4	0.24409571556282003	586.5024569974	#ffd7d7
TTH2-1-0508	10.934444045247	5.0858410737286	6	0.1	0.0	#ffffff
NTC2-38-0508	0.859509759633437	-25.3334995674515	7	0.1	0.0	#ffffff
PTC5-0407	-13.7399718505264	33.4668672236245	0	0.10046553149762875	1.89481946845189	#ffffff
NTH150-0407	-27.5097473813649	1.67000430869552	0	0.1	0.0	#ffffff
