""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S598"	0.363953298856486	0.434756517412528	0.436518002227496	0.348007755024309	0.440513981614686	0.460150551101659	0.259784849173192
"S599"	0.36438212139498	0.428071326354124	0.434329782235478	0.340595942066782	0.428807979645598	0.456993057474791	0.241012571660752
"S600"	0.339204704989541	0.358474596821091	0.453992277740578	0.283639044805797	0.355187572261664	0.466335214405814	0.215813750876567
"S601"	0.350429510322177	0.387076460342497	0.476571409523283	0.296739529259517	0.383482523879108	0.492749963166202	0.233415276135005
"S602"	0.361394490987449	0.371513938385309	0.329168733088694	0.326730634166956	0.369401245113996	0.347589469686977	0.229669487651881
"S603"	0.323477577390796	0.38076335648256	0.459262353931709	0.251172162789101	0.386169324350264	0.483550943037117	0.183545038211379
"S604"	0.368996113259833	0.437508397509779	0.419907863070511	0.331975396646454	0.434002420850953	0.450242979451799	0.226848791732691
"S605"	0.405079039460211	0.359883772472862	0.334611029690512	0.364358336819006	0.326390068640301	0.346950475410495	0.2966035324438
"S606"	0.356478662193306	0.389889321805498	0.41250404531397	0.31559918475571	0.406376522527465	0.433238771299721	0.227963109881003
"S607"	0.370707241735482	0.423198720883353	0.407456038674592	0.338071223437665	0.401348328343806	0.419953367396618	0.218658552905343
"S608"	0.384371266989541	0.340104505821091	0.376719909740578	0.360756689805797	0.335376270261664	0.391903297405814	0.274733439876567
"S609"	0.331328906787867	0.392974203272465	0.476437770819071	0.275033722494724	0.38693648614353	0.489017675230745	0.201546400096818
"S610"	0.389704047062344	0.417023030832718	0.397434492452772	0.363803238613063	0.379641577028154	0.429339066714403	0.255720548402314
"S611"	0.388570450187031	0.399545997498152	0.427828983358317	0.351258192839188	0.382123569084463	0.44684176014321	0.265133566206944
"S612"	0.354268577122595	0.404024343229653	0.42829856925366	0.311752569587285	0.402388939908641	0.44488308670997	0.232788414579943
"S613"	0.372432846528034	0.381961037762686	0.45802658474856	0.34206124384827	0.359388332292576	0.476107428778946	0.236406464364127
"S614"	0.350084648397072	0.389426463789906	0.423346922887362	0.296949945705623	0.372926081793266	0.438627385193628	0.215404920885439
